                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8343,                 2.7196,                 2.0457,                0.00361,                      1,                0.45357,                0.15245,                 1.1114,                 3.2407,                  1.533,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.4206,                 2.5363,                 1.6878,                0.00361,                      1,                0.84109,                0.42221,                 0.7114,                  3.148,                 1.2419,               9.67e-05,               9.67e-05,               9.67e-05
                      3,                 1.2168,                 2.0556,                 1.5281,                0.00361,                      1,                0.89441,                 0.6032,                0.79872,                 3.1002,                 1.2659,             0.00014944,             0.00014944,             0.00014944
                      4,                  1.074,                   1.51,                 1.3573,                0.00361,                      1,                0.78902,                0.59138,                0.71514,                 2.9066,                 1.2097,             0.00019822,             0.00019822,             0.00019822
                      5,                 1.0138,                 1.2953,                 1.3191,                0.00361,                      1,                0.53211,                0.40083,                0.96731,                 3.1658,                 1.3418,             0.00024304,             0.00024304,             0.00024304
                      6,                0.94732,                 1.1297,                 1.2573,                0.00361,                      1,                0.84384,                0.60334,                0.88037,                 3.1017,                  1.292,              0.0002839,              0.0002839,              0.0002839
                      7,                0.93687,                 1.0258,                 1.1754,                0.00361,                      1,                 0.9265,                0.74212,                0.82139,                  2.876,                 1.2668,              0.0003208,              0.0003208,              0.0003208
                      8,                0.92017,                0.95633,                 1.2334,                0.00361,                      1,                0.93253,                0.60526,                 1.2177,                 2.9339,                 1.5774,             0.00035374,             0.00035374,             0.00035374
                      9,                 0.9477,                 1.0586,                 1.2721,                      1,                   0.73,                0.90398,                0.62427,                 1.2006,                  2.761,                 1.6125,             0.00038272,             0.00038272,             0.00038272
                     10,                0.92642,                 1.0019,                 1.2281,                0.94634,                0.76923,                0.90854,                0.72672,                0.93037,                 2.6429,                 1.4212,             0.00040774,             0.00040774,             0.00040774
                     11,                0.84048,                0.94949,                 1.1953,                0.98763,                0.84615,                0.91617,                0.67383,                 1.1139,                 2.6294,                 1.5507,              0.0004288,              0.0004288,              0.0004288
                     12,                0.93439,                0.97298,                 1.2904,                      1,                0.73233,                 0.8479,                0.72364,                0.93704,                 2.7013,                 1.3667,              0.0004459,              0.0004459,              0.0004459
                     13,                0.82332,                0.92176,                 1.1474,                0.97986,                0.84615,                0.91871,                0.73064,                0.86079,                  2.418,                 1.3014,             0.00045904,             0.00045904,             0.00045904
                     14,                0.86771,                0.97409,                 1.2112,                0.95678,                0.84615,                0.92047,                0.75501,                0.81705,                 2.3745,                 1.2445,             0.00046822,             0.00046822,             0.00046822
                     15,                0.85957,                0.99936,                  1.203,                0.96316,                0.84615,                 0.8942,                0.73138,                0.90023,                 2.4747,                 1.2767,             0.00047344,             0.00047344,             0.00047344
                     16,                 0.8003,                0.88941,                 1.1459,                0.97709,                0.84615,                0.90954,                0.72344,                0.89584,                 2.5646,                 1.2838,              0.0004747,              0.0004747,              0.0004747
                     17,                 0.8398,                0.92462,                 1.2008,                      1,                0.83794,                0.84524,                0.55356,                   1.15,                 2.4407,                 1.6523,               0.000472,               0.000472,               0.000472
                     18,                0.86335,                 0.8588,                 1.2041,                      1,                0.83974,                0.91812,                0.64949,                0.98083,                 2.1559,                 1.4544,             0.00046534,             0.00046534,             0.00046534
                     19,                0.84512,                 0.8441,                 1.1849,                      1,                0.83906,                0.93425,                0.68936,                0.96469,                 2.0608,                 1.3875,             0.00045472,             0.00045472,             0.00045472
                     20,                0.77886,                0.80356,                 1.1217,                      1,                0.84456,                0.92521,                0.65504,                 1.0374,                 2.0616,                 1.4935,             0.00044014,             0.00044014,             0.00044014
                     21,                0.83531,                   1.53,                  1.307,                0.99041,                0.84615,                0.92202,                0.68093,                 1.0914,                 2.2656,                 1.5075,              0.0004216,              0.0004216,              0.0004216
                     22,                0.74072,                 1.3159,                 1.1638,                0.98416,                0.84615,                0.89626,                0.69943,                 1.0009,                 2.4203,                 1.3539,              0.0003991,              0.0003991,              0.0003991
                     23,                0.71931,                  1.346,                 1.2561,                0.99095,                0.84615,                 0.9095,                0.71686,                 0.9326,                 2.2674,                  1.326,             0.00037264,             0.00037264,             0.00037264
                     24,                0.74354,                 1.3582,                 1.1989,                0.99342,                0.84615,                0.91428,                0.72929,                0.87609,                 2.0496,                 1.2951,             0.00034222,             0.00034222,             0.00034222
                     25,                0.75119,                 1.3079,                 1.2022,                0.99308,                0.84615,                0.92151,                0.76215,                0.86307,                 1.9673,                 1.2932,             0.00030784,             0.00030784,             0.00030784
                     26,                0.72654,                 1.2725,                 1.1876,                      1,                0.91543,                0.93184,                0.75056,                0.86595,                 1.9632,                 1.2955,              0.0002695,              0.0002695,              0.0002695
                     27,                0.72076,                 1.2453,                 1.1617,                      1,                0.91501,                0.94069,                 0.7762,                0.78686,                 1.9356,                 1.2452,              0.0002272,              0.0002272,              0.0002272
                     28,                0.71701,                 1.2285,                 1.2274,                      1,                0.91632,                0.96636,                0.79113,                0.77645,                 1.8467,                 1.2173,             0.00018094,             0.00018094,             0.00018094
                     29,                0.76436,                 1.2431,                 1.1872,                      1,                0.91632,                0.96636,                0.79113,                0.77645,                 1.8467,                 1.2173,             0.00013072,             0.00013072,             0.00013072
                     30,                0.70251,                 1.2057,                 1.0983,                      1,                0.91928,                0.96636,                0.79808,                0.76128,                 1.7684,                 1.1989,              7.654e-05,              7.654e-05,              7.654e-05
