                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6654,                 2.6632,                 1.9802,                0.00228,                      1,                0.37974,                0.21936,                 1.3156,                  5.348,                 1.7422,                0.00052,                0.00052,                0.00052
                      2,                 1.4981,                 2.2699,                 1.8687,                0.42302,                0.27632,                0.32526,                0.13861,                 1.6475,                 4.8371,                 2.2979,               0.001025,               0.001025,               0.001025
                      3,                 1.6367,                 2.2762,                 1.9696,                0.58688,                0.17105,                0.23785,                0.13327,                 1.6342,                 4.7367,                  2.428,              0.0014944,              0.0014944,              0.0014944
                      4,                 1.6065,                 2.3914,                 1.9764,                0.03041,                0.10526,                0.02129,                  0.006,                 2.6213,                 13.314,                 3.0681,               0.001802,               0.001802,               0.001802
                      5,                 1.6627,                 2.3288,                 2.0499,                0.78953,                0.28947,                0.36469,                0.19307,                 1.6039,                 4.3461,                 2.0174,               0.001736,               0.001736,               0.001736
                      6,                 1.5681,                 2.1652,                 1.9494,                0.23498,                0.27632,                0.21842,                0.07444,                 2.0636,                 14.511,                 2.9978,                0.00167,                0.00167,                0.00167
                      7,                 1.5803,                 2.1812,                 1.9658,                0.37162,                0.56579,                0.47134,                0.26889,                 1.4788,                 4.1374,                 2.0058,               0.001604,               0.001604,               0.001604
                      8,                 1.5567,                 2.0862,                 1.9189,                 0.4754,                0.31579,                0.32754,                0.13357,                  1.907,                 3.5683,                 2.3554,               0.001538,               0.001538,               0.001538
                      9,                 1.5236,                 2.1293,                 1.8971,                0.51472,                0.26522,                0.30746,                0.17555,                 1.7023,                 4.0184,                 2.1915,               0.001472,               0.001472,               0.001472
                     10,                 1.4884,                 2.0859,                 1.8877,                  0.509,                   0.25,                0.33883,                0.16859,                 1.8603,                 3.3592,                 2.2805,               0.001406,               0.001406,               0.001406
                     11,                 1.4231,                 2.0059,                 1.8249,                0.40003,                0.53947,                0.48228,                0.30046,                 1.4546,                 3.1721,                 1.9063,                0.00134,                0.00134,                0.00134
                     12,                 1.4097,                 1.9319,                 1.8252,                0.41732,                0.66911,                0.57152,                0.31968,                 1.3658,                  2.502,                  1.858,               0.001274,               0.001274,               0.001274
                     13,                 1.4196,                 1.8826,                 1.8096,                0.65208,                0.30263,                0.42808,                0.24514,                 1.4478,                  2.409,                 1.8443,               0.001208,               0.001208,               0.001208
                     14,                 1.3782,                  1.823,                 1.7643,                0.44028,                0.65209,                0.54587,                0.26624,                 1.6323,                 2.0402,                 1.9803,               0.001142,               0.001142,               0.001142
                     15,                 1.3155,                 1.7882,                  1.752,                0.46252,                0.60526,                0.56762,                0.31786,                 1.4195,                 2.1816,                 1.9202,               0.001076,               0.001076,               0.001076
                     16,                 1.3686,                 1.8642,                 1.7983,                0.49217,                0.63158,                 0.5963,                0.35211,                  1.463,                 2.2929,                 1.8759,                0.00101,                0.00101,                0.00101
                     17,                  1.376,                 1.8256,                 1.8109,                0.52223,                0.61843,                0.60009,                0.27992,                 1.5993,                 2.2329,                 1.8807,               0.000944,               0.000944,               0.000944
                     18,                 1.3637,                  1.881,                 1.7754,                0.55651,                0.52838,                0.60406,                0.39579,                 1.2691,                 1.8218,                 1.7028,               0.000878,               0.000878,               0.000878
                     19,                 1.2496,                 1.7777,                 1.6769,                0.45119,                0.63826,                0.60369,                0.35545,                 1.4236,                 1.8516,                 1.7432,               0.000812,               0.000812,               0.000812
                     20,                 1.3142,                 1.7363,                 1.7511,                0.50447,                0.63158,                0.60176,                0.34646,                 1.3718,                 1.8086,                 1.7266,               0.000746,               0.000746,               0.000746
                     21,                 1.1384,                 2.3515,                 1.7238,                0.48412,                0.65789,                0.59727,                0.30905,                 1.5446,                 2.0998,                 1.8655,                0.00068,                0.00068,                0.00068
                     22,                 1.0305,                 2.0115,                 1.6917,                 0.5127,                0.52632,                0.62079,                0.36287,                 1.3679,                 1.9524,                 1.7236,               0.000614,               0.000614,               0.000614
                     23,                 1.0677,                  1.852,                 1.6696,                0.48185,                0.72196,                0.63054,                0.37367,                 1.3641,                 2.0539,                 1.6679,               0.000548,               0.000548,               0.000548
                     24,                 1.0162,                 1.7352,                 1.6208,                0.47409,                0.67612,                0.62981,                0.39169,                 1.1951,                 1.8813,                 1.5656,               0.000482,               0.000482,               0.000482
                     25,                 1.0105,                 1.8914,                 1.6322,                0.48447,                0.59355,                0.61716,                0.38404,                  1.216,                 1.7587,                 1.5102,               0.000416,               0.000416,               0.000416
                     26,                0.99483,                 1.6811,                 1.5939,                0.46867,                0.69637,                0.63201,                0.39096,                  1.236,                 1.7667,                 1.5303,                0.00035,                0.00035,                0.00035
                     27,                0.99873,                 1.7158,                 1.5727,                0.46476,                0.69737,                 0.6304,                0.38298,                 1.2517,                 1.7547,                 1.5603,               0.000284,               0.000284,               0.000284
                     28,                0.89148,                 1.5611,                 1.5329,                0.46758,                0.65789,                0.64196,                0.39324,                 1.2726,                 1.6994,                 1.5794,               0.000218,               0.000218,               0.000218
                     29,                0.96783,                 1.6337,                 1.5529,                0.47593,                0.64474,                0.63936,                0.37114,                 1.3768,                 1.6978,                 1.6646,               0.000152,               0.000152,               0.000152
                     30,                 0.9831,                 1.6125,                 1.5761,                0.47392,                0.73684,                0.65158,                0.38032,                 1.3746,                 1.6967,                 1.6647,                8.6e-05,                8.6e-05,                8.6e-05
